2025-01-25 15:02:58 UTC | CORE | DEBUG | (pkg/util/log/log.go:791 in func1) | 'use_proxy_for_cloud_metadata' is enabled: adding cloud provider URL to the no_proxy list
2025-01-25 15:02:58 UTC | CORE | WARN | (pkg/util/log/log.go:871 in func1) | Agent configuration relax permissions constraint on the secret backend cmd, Group can read and exec
2025-01-25 15:02:58 UTC | CORE | DEBUG | (pkg/util/log/log.go:786 in func1) | FIPS mode is disabled
2025-01-25 15:02:58 UTC | CORE | INFO | (pkg/util/log/log.go:831 in func1) | 1 Features detected from environment: docker
2025-01-25 15:02:58 UTC | CORE | DEBUG | (comp/forwarder/eventplatform/eventplatformimpl/epforwarder.go:418 in newHTTPPassthroughPipeline) | Initialized event platform forwarder pipeline. eventType=dbm-samples mainHosts=dbm-metrics-intake.datadoghq.com additionalHosts= batch_max_concurrent_send=10 batch_max_content_size=10000000 batch_max_size=1000, input_chan_size=500
2025-01-25 15:02:58 UTC | CORE | DEBUG | (comp/forwarder/eventplatform/eventplatformimpl/epforwarder.go:418 in newHTTPPassthroughPipeline) | Initialized event platform forwarder pipeline. eventType=dbm-metrics mainHosts=dbm-metrics-intake.datadoghq.com additionalHosts= batch_max_concurrent_send=10 batch_max_content_size=20000000 batch_max_size=1000, input_chan_size=500
2025-01-25 15:02:58 UTC | CORE | DEBUG | (comp/forwarder/eventplatform/eventplatformimpl/epforwarder.go:418 in newHTTPPassthroughPipeline) | Initialized event platform forwarder pipeline. eventType=dbm-metadata mainHosts=dbm-metrics-intake.datadoghq.com additionalHosts= batch_max_concurrent_send=10 batch_max_content_size=20000000 batch_max_size=1000, input_chan_size=500
2025-01-25 15:02:58 UTC | CORE | DEBUG | (comp/forwarder/eventplatform/eventplatformimpl/epforwarder.go:418 in newHTTPPassthroughPipeline) | Initialized event platform forwarder pipeline. eventType=dbm-activity mainHosts=dbm-metrics-intake.datadoghq.com additionalHosts= batch_max_concurrent_send=10 batch_max_content_size=20000000 batch_max_size=1000, input_chan_size=500
2025-01-25 15:02:58 UTC | CORE | DEBUG | (comp/forwarder/eventplatform/eventplatformimpl/epforwarder.go:418 in newHTTPPassthroughPipeline) | Initialized event platform forwarder pipeline. eventType=network-devices-metadata mainHosts=ndm-intake.datadoghq.com additionalHosts= batch_max_concurrent_send=10 batch_max_content_size=5000000 batch_max_size=1000, input_chan_size=100
2025-01-25 15:02:58 UTC | CORE | DEBUG | (comp/forwarder/eventplatform/eventplatformimpl/epforwarder.go:418 in newHTTPPassthroughPipeline) | Initialized event platform forwarder pipeline. eventType=network-devices-snmp-traps mainHosts=snmp-traps-intake.datadoghq.com additionalHosts= batch_max_concurrent_send=10 batch_max_content_size=5000000 batch_max_size=1000, input_chan_size=100
2025-01-25 15:02:58 UTC | CORE | DEBUG | (comp/forwarder/eventplatform/eventplatformimpl/epforwarder.go:418 in newHTTPPassthroughPipeline) | Initialized event platform forwarder pipeline. eventType=network-devices-netflow mainHosts=ndmflow-intake.datadoghq.com additionalHosts= batch_max_concurrent_send=10 batch_max_content_size=5000000 batch_max_size=10000, input_chan_size=10000
2025-01-25 15:02:58 UTC | CORE | DEBUG | (comp/forwarder/eventplatform/eventplatformimpl/epforwarder.go:418 in newHTTPPassthroughPipeline) | Initialized event platform forwarder pipeline. eventType=network-path mainHosts=netpath-intake.datadoghq.com additionalHosts= batch_max_concurrent_send=10 batch_max_content_size=5000000 batch_max_size=1000, input_chan_size=100
2025-01-25 15:02:58 UTC | CORE | DEBUG | (comp/forwarder/eventplatform/eventplatformimpl/epforwarder.go:418 in newHTTPPassthroughPipeline) | Initialized event platform forwarder pipeline. eventType=container-lifecycle mainHosts=contlcycle-intake.datadoghq.com additionalHosts= batch_max_concurrent_send=10 batch_max_content_size=5000000 batch_max_size=1000, input_chan_size=100
